cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,264,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,11.271,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,128.94,842.2
256,272,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,11.2849,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,132.69,851.87
256,280,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,11.321,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,136.15,859.83
256,288,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,11.3697,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,139.44,866.78
256,296,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,11.1835,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,145.7,892.01
256,304,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,11.1621,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,149.93,904.55
256,312,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,11.1998,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,153.36,912.29
256,320,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,11.2314,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,156.85,920.48
256,328,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,13.2235,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,136.55,790.95
256,336,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,13.2069,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,140.05,801.09
256,344,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,13.2457,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,142.97,807.87
256,352,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,13.2576,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,146.16,816.26
